,User Name,Followers,Tweet,Polarity
1,APO Group English,10661,coronavirus south africa covid 19 update for south africa 24 july 2020 nicd sa moetitshidi whoafro,0.0
7,Oxfam International,843670,covid19 is everyone s fight i have covered major disasters but nothing like this before fabeha monir a vi,0.0625
9,National Herald,99381,2 000 women lawyers write to amitshah seeking 5 lakh loan per financially drained lawyer covid19 coronavirus,0.0
11,The GAA,398260,you can all playyourpart in the fight against covid19 we re all inthistogether cavan ladies footballer aishli,0.0
12,Livemint,1902888,bihar witnesses biggest single day spike of 2 803 new covid19 cases,0.032467532467532464
13,LatestLY,62622,punjab govt warns people not to click on any url circulated via sms whatsapp claiming covid 19 relief package of rs,0.0
16,The Pioneer,22662,covid19 uttarpradesh cm myogiadityanath directs officials to enhance covid 19 testing capacity to one lakh te,0.0
17,NEWS9,25592,bignews rajasthan governor kalraj mishra appeals to all covid19 recovered patients to donate their plasma says,0.0
19,Khaleej Times,565059,photos uae hospital launches support group for covid19 patients,0.0
20,The Pioneer,22662,covid19 5 690 rtpcr cbnaat truenat tests and 14 819 rapid antigen tests conducted today a total of 9 29 244 test,0.0
21,LatestLY,62622,maharashtra government cuts syllabus by 25 for students in class 1 12 in view of covid19 pandemic says school e,0.0
22,Viet Nam Government Portal,11394,danang covid19 patient s health gets worse quickly prompting doctors to use ecmo amp filter blood,-0.033333333333333354
26,Hindustan Petroleum Corporation Limited,152595,we shall over come with victory in our minds in our fightagainstcorona our retail outlets across india are adher,0.0
27,Jim Roberts,209711,coronavirus update 7 25 2020 nearly 40 countries report record single day increases in infections us records o,0.01428571428571429
33,APO Group English,10661,coronavirus kenya covid 19 update 24th july 2020 moh kenya susan mochache moetitshidi whoafro drtedros,0.0
34,ArogyaAndhra,77119,covidupdates covid19 cases in the last 24 hours as on 25 07 2020 till 10 am apfightscorona covid19pandemic,0.0
35,Anthony Nicodemo🏳️‍🌈🇺🇸🏀,3336,it took two weeks with a limited population for one of my members to test positive for covid19 and we ve followed,0.07792207792207792
36,APO Group English,10661,coronavirus kenya covid 19 update 24th july 2020 moh kenya susan mochache moetitshidi whoafro drtedros,0.0
39,LatestLY,62622,out of job actor kartika sahoo sells vegetables in odisha to survive covid 19 lockdown,0.0
40,Eyewitness News,1164651,andrewmlangeni memorial myanc urges mourners to adhere to covid19 regulations motso modise,0.0
41,The Hindu,6296857,just in 1 142 new covid19 cases were reported in delhi in the past 24 hours taking the total number of cases to,-0.03787878787878788
47,UNICEF India,932904,i miss them but this is my duty this is the story of noman saghir a doting father a lab technician and one o,0.0
48,WCBS Newsradio 880,22852,mama s of corona third generation owner irene debenedittis is encouraging her workers to treat their customers lik,0.0
50,Shemin,3155,delhi covid19 update jul 25 new cases 1142 total 129531 july 43452 33 54 of total deaths 29 total 3806 disch,0.03409090909090909
54,CBC Day 6,17038,covid19 has worsened an already dire opioid crisis there are fewer social supports people battling addictions mu,0.03333333333333333
55,LatestLY,62622,england reopen swimming pools and gyms hoping fitter nation might minimize impact of coronavirus,0.0
57,LatestLY,62622,mumbai bmc seals navjivan co op housing society following spike in covid 19 cases mumbai,0.0
58,New Straits Times,716342,nstnation it proved to be a costly night out for 310 people after they were slapped with rm1 000 compound each aft,0.0
60,Jatin Anand,7932,coronavirusupdate coronaviruspandemic 1 142 new coronavirus cases reduction of 1 024 active cases 2 137 recov,0.001515151515151511
61,LatestLY,62622,uttar pradesh 67 booked for offering friday prayers in jatara village amid covid 19 pandemic,0.0
62,T-House,113247,the us congress can investigate whatever they believe is necessary however it must exercise fairness and accuracy,0.0
64,APO Group English,10661,coronavirus cameroon covid 19 status update 24th july 2020 drmanaouda moetitshidi whoafro drtedros who,0.0
65,Melanie Finn,6794,we all relied on the arts to get us through lockdown and now the arts and those relying on the industry are facing,0.0
68,Open Letters,17161,sign protect all people from covid 19 and i ll deliver a copy to your officials no,0.0
70,Open Letters,17161,i delivered impending evictions from catherine a constituent in pittsburgh pa to sentoomey pa18 papol,0.0
73,Gerald Posner,6253,i will be talking about covid19 vaccines with smerconish on cnn at 9 25am est this morning,0.0
74,Steve Clemons,38368,coronavirus report the hill s steve clemons interviews coronavirus covid19 frontlineworkers,0.0
76,Eric Feigl-Ding,243297,at some point in a pandemic i will fall for dog memes too covid19 ht lunanharry,0.0
79,Diabetes.co.uk,61669,strokes brain inflammation psychosis and dementia like symptoms could be linked to covid19 researchers have sai,0.0
81,LatestLY,62622,rajasthan governor kalraj mishra appeals all recovered covid19 patients to donate plasma at a plasma bank at sawa,0.0
84,Isaac Bogoch,43668,i must urge all canadians particularly younger adults to not give in to covid19 fatigue younger age groups are,0.0
85,Sharlyn Lauby,34183,how covid19 will change work in general and recruiting specifically via proactivetalent recruiting,0.05000000000000002
87,OTV,533537,iit kharagpur s portable device can test covid for rs 400 covid19 covidtesting covid,0.0
88,Baaghi TV باغی ٹی وی,37163,people and businesspersons living in continued stress economy crisis debt loan grant,0.0
89,NewsMobile,15325,rajasthan government today started a plasmabank at sawai man singh hospital in jaipur for treatment of covid 19 pa,0.0
90,CommonWealth Magazine,1485,despite the covid19 pandemic matrixfitnessus a fitness equipment brand by taiwan s johnson health tech made r,0.0
91,News Ghana,30390,opinion covid19 directorgeneralofghanaeducationservice writing exams in a pandemic,0.0
92,MIT Sloan Management Review,134284,3 proactive response strategies to covid19 business challenges same products different channel same infrastr,0.0
93,Dorset HealthCare,6626,do you have any thoughts on how we can improve healthcare services in the county complete this short survey to hel,0.05
94,U.S. Surgeon General,844126,are you and your family making plans this weekend keep these things in mind during the covid19 pandemic,0.0
96,APO Group English,10661,coronavirus zambia covid 19 daily status update 24th july 2020 mohzambia moetitshidi whoafro drtedros,0.0
97,The Times Of India,12978547,rajasthan government today started a plasma bank at sawai man singh hospital in jaipur for treatment of covid 19 pa,0.0
99,(((evan shapiro))),14674,when ny was the eye of covid19 and we were dying daily i pleaded w america to shut down tweeps in tx ca amp fl ca,-0.07777777777777779
100,Dr. Theresa Tam,208753,today s covid19 in info and updates goc website on coronavirus disease covid,0.0
102,Sumon Chakrabarti,3488,anecdotally i ve come across now 3 or 4 patients who had covid19 in april and recovered now admitted months later,0.0
103,Thant Myint-U,140808,six year old kid in the little hill town of tedim chin state myanmar leaving his local clinic this morning after,-0.029166666666666664
106,International Medical Corps UK,9157,in somalia we ve completed a covid19 isolation centre at the galkacyo south hospital our teams have also tra,0.0
107,Gulf News Opinion,5454,spare a thought for the millennials they were pegged back in 2008 by the financial crash and now covid19,0.0
109,Mitch Fick,2370,24 hour trends in iapublichealth covid19 data for johnsoncountyia 0700 july 24 0700 july 25 activity rate,0.0
112,Mitch Fick,2370,24 hour trends in iapublichealth covid19 data for linncounty 0700 july 24 0700 july 25 activity rate 16 9,0.0
115,Mitch Fick,2370,24 hour trends in iapublichealth covid19 data statewide 0700 july 24 0700 july 25 activity rate 26 91,0.0
118,ANI,4515179,rajasthan government today started a plasma bank at sawai man singh hospital in jaipur for treatment of covid 19 pa,0.0
119,SEforALL,38760,watch the highlights from ceo damilolasdg7 s interview with peterndoro on sabcnews where she talks about the imp,0.0
120,Belfast Telegraph,185593,ni schoolboy 10 crochets cuddly toys in lockdown coronavirus covid19,0.0
128,ChimpReports,78061,stop the spread of coronavirus or covid19 remember to wash and sanitize your hands wear a face mask while in a,0.0
129,Yahoo India,102268,obesity increases risks of death from covid 19 public health england obesity england covid19,0.0
134,APO Group English,10661,coronavirus zambia covid 19 daily status update 24th july 2020 mohzambia moetitshidi whoafro drtedros who,0.0
136,Nasdaq,594884,ceo adenatfriedman joined lizclaman on foxbusiness to discuss the nasdaq biotech sector and the role of technol,0.0
137,Sightsavers,17215,how has covid19 affected our programmes across the world rasak a programme officer in nigeria shares his story,0.0
140,moneycontrol,886063,in pics faces of frontline workers around the world in fight against coronavirus a big applause,0.0
141,The New Indian Express,445257,has covid19 brought to the fore a kinder india the new sunday express magazine finds out there are other reading,0.005681818181818177
143,ORF,73796,the political cost of covid19 running amok is too high for any politician to stake his or her government on the b,0.08
145,The New Indian Express,445257,a 22 year old covid19 patient killed himself by jumping from the third floor of aiims building in patna up to sev,-0.03333333333333333
148,Stephen J. Ubl,11634,an eo to implement price controls from socialized health systems is a reckless distraction when our focus needs to,0.0
151,NDTV,13417047,rajasthanpoliticalcrisis as ashok gehlot met with his cabinet a bjp delegation also met the governor to discuss,0.0
152,FinancialXpress,659555,icicibank q1fy21 profit jumps 36 on stake sales bank makes rs 5 550 crore covid19 provisions,0.0
153,NEWS9,25592,bignews bjp delegation led by state party chief satishpoonia and leader of opposition gulabchandrakataria arri,0.0
157,Communications Team,8119,with peak season now upon us we re doing all we can to encourage people to follow social distancing to help stop t,0.03333333333333333
159,Avril Benoît,8828,in case you missed it our covid19 webinar with lessons to share about working in long term care facilities amp nurs,-0.05
166,NDTV,13417047,rajasthanpoliticalcrisis bjp delegation arrives at raj bhawan in jaipur to meet governor kalraj mishra over,0.0
167,The Source Magazine,668991,u s hits 4 million covid 19 cases trump cancels jacksonville rnc activities thesource covid19 wearyourmask,0.0
168,National Herald,99381,speaking to the bbc to mark the 1st anniversary of his entering downing street uk pm borisjohnson said we did,0.0
169,Gulf News,1142417,covid19 uae had announced an additional 30 day grace period for visit visas that expired after march 1,0.0
171,Newsroom Post,56500,focus on covid19 not publicity priyankagandhi to myogioffice,0.0
173,Siddharth Chatterjee,27090,the tokyo olympics in 1940 was cancelled due to the 2nd world war 80 years later the tokyo olympics 2020 hav,-0.041666666666666664
174,World News Network,20122,how the dutch pm hijacked the eu summit covid19 markrutte,0.0
178,The PRI,21634,webinar pri asset owner series the asset owner of the 21st century join the pri s ceo fireynolds amp roger urwin,0.0
181,Deccan Herald,57160,covid19 india did 3 50 lakh tests every day over the last one week the ministry said,0.0
182,RFI English,23147,france singles out 30 million priority citizens for covid19 vaccine via rfi en,0.0
183,Rachakonda Police,87454,rachakonda traffic police conducted awareness program on precautions to prevent covid19 socialdistancing us,0.0
186,ANI,4515179,rajasthan bjp delegation led by state party president satish poonia and leader of opposition gulab chandra kataria,0.0
187,UNDP Ghana,18240,we need the surviving story of people who have recovered from covid19 they don t need stigma message from yvon,0.0
193,Noemi L. Dado,26478,we re asking everyone to treat the decisions about where they go what they do and who they meet with as life and,0.0
194,Noemi L. Dado,26478,we will not be going back to the old normal the pandemic has already changed the way we live our lives world,0.09659090909090909
195,Belfast Telegraph,185593,coronavirus updates holidaymakers plans hit by delays and travel restrictions coronavirus covid19,0.0
196,Anita Bhatia,2788,in morocco onufemmesmaroc is on the ground helping rural women struggling to maintain their cooperatives due to,-0.0625
197,NSFT mental health,8904,if you re going out this weekend please remember to keep social distancing covid19 protectsuffolk protectnorfolk,0.03333333333333333
199,US-Botschaft Berlin,26859,today would have been csdberlin no parade this year due to covid19 so we are taking the opportunity to virtuall,0.0
200,Ginger Gorman 🌈,12713,don t wear a mask with a valve during covid19,0.0
204,New Straits Times,716342,nstworld mr president don t go screams a tearful celiacapira as she begs for a hospital bed for her husband,0.0
208,Open Letters,17161,sign extend covid 19 emergency unemployment assistance and i ll deliver a copy to your officials,0.0
209,NEWS 1130,242265,have a question about covid19 send it in we ll try to get to the bottom of it as part of news 1130 gets answers,0.0
210,CoventryCityCouncil #StaySafe,65086,the government has highlighted the risks to smokers from covid19 quitting or temporarily stopping during this out,0.0
213,Forbes India,1221862,1 in 20 migrant workers worldwide is indian according to wef the return of international migrant workers due to,-0.0625
215,Solihull Council,22017,if contacted by the nhs test and trace system please do as instructed and self isolate this will help break the,0.0
216,Open Letters,17161,sign request for urgent support of long covid patients and i ll deliver a copy to your officials,-0.05
217,Patrick Henningsen,47832,how does the non aggression principle apply to the current raft of state issued public health mandates covid19,0.0
219,Mark Albert,4220,millions face homelessness as end of covid19 pandemic eviction moratorium looms cbsnews rpts,0.0
221,"Sapna Kudchadkar, MD, PhD",8840,laurent is the only active nfl player who is also a med school grad he has been on the front lines of covid19,-0.06666666666666667
222,Vidhi Centre For Legal Policy,16671,in recent years actions such as the abrogation of article 370 and the ongoing covid19 pandemic have necessitated,0.0
224,OTV,533537,people breaking covid19 quarantine norms are being reported to us by locals community participation in covid19,0.0
228,#IndiaFightsCorona,100215,coronavirusupdates 32 223 covid19 patients recovered in the last 24 hours taking the recovery rate to another,0.0
230,IANS Tweets,52155,as per information sfj has offered financial support for four days between july 25 and july 28 an attempt to g,0.0
231,Open Letters,17161,sign immediately impose a legislative moratorium on evictions amp a rent freeze and i ll deliver a copy to your o,0.0
232,Blood Donors India,1215921,hubli karnataka need blood type any group at life life hospital blood component need plasma from,0.0
234,IANS Tweets,52155,intelligence agencies have issued alerts across jammuandkashmir soon after the information leaked that the secessi,0.0
236,IANS Tweets,52155,a day ahead of launching voter registration in jammuandkashmir for its online referendum2020 campaign which se,0.0
237,UAE Forsan,13083,a community group consisting of 10 indian ladies in uae distribute over 10 000 food kits to distressed individuals,0.0
239,Hindustan Times,7647627,serum institute of india seeks dcgi nod for phase 2 3 clinical trials of oxford s covid19 vaccine candidate,0.0
240,Outlook Magazine,222071,serum institute of india sii which has partnered with astrazeneca for manufacturing the oxford vaccine candidate,0.0
241,IANS Tweets,52155,they are regarded as places where statesmen diplomats policymakers intellectuals scientists jurists writers,0.0
243,Hyderabad Traffic Police,87196,hydtpinfo today sri v sreenivasa reddy acp trf5 welcomed three corona conquerors of tr ps sultan bazar,0.0
245,UN Vienna,30741,as we work together to contain covid19 we must also work to contain misinformation misinformation can be danger,0.0
248,The Tribune,87792,ex gujarat cm shankersinhvaghela beats covid19 and flaunts fitness goals pictures go viral,0.0
249,TV9 Kannada,216624,bengaluru countdown begins for largest covid care centre opening over 100 housekeepers appointed video link,0.0
251,Emma Donoghue,15574,no thepullofthestars was finished before i heard of covid19 all i changed during copyediting in april was a fe,0.0
252,UNHCR Lebanon,14915,today h e minister of public health hamad hassan20 inaugurated the new ward at the baalbek govt hospital built amp,0.06818181818181818
