,User Name,Followers,Tweet,Polarity
9261,CGTN,13882338,chinese mainland reports 36 new covid19 cases,0.068181818
151,NDTV,13417047,rajasthanpoliticalcrisis as ashok gehlot met with his cabinet a bjp delegation also met the governor to discuss,0
97,The Times Of India,12978547,rajasthan government today started a plasma bank at sawai man singh hospital in jaipur for treatment of covid 19 pa,0
507,United Nations,12748145,whatever you are doing to stop the spread of covid19 keep it up preventing the further spread of coronavirus,0
9187,China Xinhua News,12677807,rowing bamboo rafts on cisadane river indonesian fishermen in bogor district of west java province spread fishing,0
1847,ABP News,10172489,herd immunity to covid19 still a long way off can be sped up by vaccine who chief scientist soumya swaminathan,-0.05
6153,Ivanka Trump,9222125,the vast reach of our farmerstofamilies food box program affords us the opportunity to bring nutritious locally s,0
3121,UNICEF,8334728,try to see the person before the disability in bulgaria maria is using her time at home during covid19 to rei,0
7524,World Health Organization (WHO),8161727,the temporary recommendations advise countries to support the who research efforts incl through funding join i,0
239,Hindustan Times,7647627,serum institute of india seeks dcgi nod for phase 2 3 clinical trials of oxford s covid19 vaccine candidate,0
1267,Shashi Tharoor,7634361,kerala s post covid19 development future my talk amp discussion with the public policy research institute thiruvan,0
8893,"People's Daily, China",7112528,a group of 10 chinese medics departed chengdu city in southwest china s sichuan province on tuesday for azerbaijan,0
430,ABS-CBN News,7015048,youtuber mika salamanca arrested in hawaii for breaking covid19quarantine rules with tiktok vid covid19,0
41,The Hindu,6296857,just in 1 142 new covid19 cases were reported in delhi in the past 24 hours taking the total number of cases to,-0.037878788
2332,SkyNews,6264954,tony blair has told ridgeonsunday the uk is going to be living with covid19 not eliminating it for the foreseea,0
5568,Department of Defense 🇺🇸,6186636,from warehouses to distribution centers these wanationalguard guardsmen share how they continue to support the,0
4421,IndiaToday,5281432,scientists have found how misfiring of the immune system in some patients infected with the novel coronavirus can,0
792,Zee News English,5212622,could have managed coronavirus pandemic differently uk pm boris johnson coronavirus covid19,0
8396,Filmfare,5100839,for how long can you live in fear akshaykumar talks about getting back on sets during the covid19 pandemic,0.028787879
858,ABS-CBN News Channel,4997446,we hope this pandemic is not being weaponized the commission on human rights was surprised and concerned about t,0.05
118,ANI,4515179,rajasthan government today started a plasma bank at sawai man singh hospital in jaipur for treatment of covid 19 pa,0
664,CNNNews18,4499431,alert comprehensive town wide lockdown to be imposed in kalimpong municipality for seven days starting 9 am on 2,-0.05
6087,China Daily,4398378,a cambridge university researcher began a project translating covid19 information into different african languages,0
5333,Cricbuzz,4288833,covid 19 training protocols may become the norm in future reckons england captain eoinmorgan while addressing,0
5393,POLITICO,4237441,we re hosting a 2020 campaign polling deep dive to discuss the state of polling in the election what pollsters hav,0
9120,Dr. Mehmet Oz,4036082,this is what happens inside your body when you get covid19,0
1225,World Economic Forum,3826261,the un has called for ubi for the world s poorest during the pandemic covid19 poverty,0
316,Economic Times,3657296,hdfcbank forecast a deeper contraction of 7 5 for growth in the current fiscal down from 4 8 it expected in ma,-0.085185185
524,World Bank,3357869,public transport cycling and walking can help us respond to immediate covid19 challenges foster long term recov,-0.025
5825,UNESCO,3292609,is covid19 a revenge of nature check out unesco s specialist meriem bouamrane reply to rom o s question are,0
3666,Sahara Reporters,3086484,14 airports now open to domestic flights sahara reporters the minister said that inspection had been completed on,0
7367,RT,3064298,thousands march in berlin against mandatory masks amp covid19 measures,0
5960,CDC,3023896,contact tracing is used by health departments to prevent the spread of infectious diseases like covid19 learn mor,0
